x1,x2,y,预测y
5.0,40.0,1625.0,1618.2515
5.0,41.0,1706.0,1699.6434
5.0,42.0,1789.0,1783.0092
5.0,43.0,1874.0,1868.2994
5.0,44.0,1961.0,1955.451
5.0,45.0,2050.0,2044.3877
5.0,46.0,2141.0,2135.0256
5.0,47.0,2234.0,2227.2593
5.0,48.0,2329.0,2320.977
5.0,49.0,2426.0,2416.053
6.0,0.0,36.0,31.354815
6.0,1.0,37.0,33.466522
6.0,2.0,40.0,37.16987
6.0,3.0,45.0,42.549118
6.0,4.0,52.0,49.681057
6.0,5.0,61.0,58.63271
6.0,6.0,72.0,69.45714
6.0,7.0,85.0,82.201706
6.0,8.0,100.0,96.90382
6.0,9.0,117.0,113.591675
6.0,10.0,136.0,132.28668
6.0,11.0,157.0,153.00237
6.0,12.0,180.0,175.74857
6.0,13.0,205.0,200.52725
6.0,14.0,232.0,227.33957
6.0,15.0,261.0,256.18118
6.0,16.0,292.0,287.04636
6.0,17.0,325.0,319.92767
6.0,18.0,360.0,354.818
6.0,19.0,397.0,391.7078
6.0,20.0,436.0,430.58923
6.0,21.0,477.0,471.45706
6.0,22.0,520.0,514.30524
6.0,23.0,565.0,559.13104
6.0,24.0,612.0,605.93195
6.0,25.0,661.0,654.7102
6.0,26.0,712.0,705.4679
6.0,27.0,765.0,758.2115
6.0,28.0,820.0,812.9487
6.0,29.0,877.0,869.6889
6.0,30.0,936.0,928.4433
6.0,31.0,997.0,989.22473
6.0,32.0,1060.0,1052.0449
6.0,33.0,1125.0,1116.917
6.0,34.0,1192.0,1183.8522
6.0,35.0,1261.0,1252.8585
6.0,36.0,1332.0,1323.9421
6.0,37.0,1405.0,1397.1058
6.0,38.0,1480.0,1472.3446
6.0,39.0,1557.0,1549.6484
6.0,40.0,1636.0,1628.9979
6.0,41.0,1717.0,1710.3665
6.0,42.0,1800.0,1793.7152
6.0,43.0,1885.0,1878.9978
6.0,44.0,1972.0,1966.1511
6.0,45.0,2061.0,2055.103
6.0,46.0,2152.0,2145.767
6.0,47.0,2245.0,2238.0432
6.0,48.0,2340.0,2331.819
6.0,49.0,2437.0,2426.9685
7.0,0.0,49.0,44.143944
7.0,1.0,50.0,46.25404
7.0,2.0,53.0,49.95016
7.0,3.0,58.0,55.320805
7.0,4.0,65.0,62.442047
7.0,5.0,74.0,71.38125
7.0,6.0,85.0,82.194405
7.0,7.0,98.0,94.928795
7.0,8.0,113.0,109.62076
7.0,9.0,130.0,126.300674
7.0,10.0,149.0,144.99014
7.0,11.0,170.0,165.70334
7.0,12.0,193.0,188.44939
7.0,13.0,218.0,213.23048
7.0,14.0,245.0,240.04785
7.0,15.0,274.0,268.89813
7.0,16.0,305.0,299.77365
7.0,17.0,338.0,332.66766
7.0,18.0,373.0,367.57144
7.0,19.0,410.0,404.4772
7.0,20.0,449.0,443.37463
7.0,21.0,490.0,484.25888
7.0,22.0,533.0,527.1222
7.0,23.0,578.0,571.9623
7.0,24.0,625.0,618.7749
7.0,25.0,674.0,667.5626
7.0,26.0,725.0,718.3275
7.0,27.0,778.0,771.07434
7.0,28.0,833.0,825.8104
7.0,29.0,890.0,882.5455
7.0,30.0,949.0,941.2903
7.0,31.0,1010.0,1002.05725
7.0,32.0,1073.0,1064.8591
7.0,33.0,1138.0,1129.7084
7.0,34.0,1205.0,1196.6173
7.0,35.0,1274.0,1265.5945
7.0,36.0,1345.0,1336.6478
7.0,37.0,1418.0,1409.7792
7.0,38.0,1493.0,1484.9865
7.0,39.0,1570.0,1562.259
7.0,40.0,1649.0,1641.5819
7.0,41.0,1730.0,1722.9279
7.0,42.0,1813.0,1806.2612
7.0,43.0,1898.0,1891.5358
7.0,44.0,1985.0,1978.6904
7.0,45.0,2074.0,2067.6555
7.0,46.0,2165.0,2158.3452
7.0,47.0,2258.0,2250.6604
7.0,48.0,2353.0,2344.4902
7.0,49.0,2450.0,2439.7083
8.0,0.0,64.0,58.748215
8.0,1.0,65.0,60.860424
8.0,2.0,68.0,64.55562
8.0,3.0,73.0,69.92209
8.0,4.0,80.0,77.03695
8.0,5.0,89.0,85.96872
8.0,6.0,100.0,96.77396
8.0,7.0,113.0,109.500084
8.0,8.0,128.0,124.18589
8.0,9.0,145.0,140.86096
8.0,10.0,164.0,159.54684
8.0,11.0,185.0,180.25917
8.0,12.0,208.0,203.00624
8.0,13.0,233.0,227.79242
8.0,14.0,260.0,254.61705
8.0,15.0,289.0,283.4765
8.0,16.0,320.0,314.3648
8.0,17.0,353.0,347.27298
8.0,18.0,388.0,382.19223
8.0,19.0,425.0,419.11465
8.0,20.0,464.0,458.03043
8.0,21.0,505.0,498.93143
8.0,22.0,548.0,541.81226
8.0,23.0,593.0,586.6671
8.0,24.0,640.0,633.49506
8.0,25.0,689.0,682.2937
8.0,26.0,740.0,733.0678
8.0,27.0,793.0,785.8193
8.0,28.0,848.0,840.55774
8.0,29.0,905.0,897.289
8.0,30.0,964.0,956.0274
8.0,31.0,1025.0,1016.7824
8.0,32.0,1088.0,1079.5687
8.0,33.0,1153.0,1144.3987
8.0,34.0,1220.0,1211.2838
8.0,35.0,1289.0,1280.235
8.0,36.0,1360.0,1351.26
8.0,37.0,1433.0,1424.3618
8.0,38.0,1508.0,1499.5399
8.0,39.0,1585.0,1576.7848
8.0,40.0,1664.0,1656.083
8.0,41.0,1745.0,1737.4077
8.0,42.0,1828.0,1820.7263
8.0,43.0,1913.0,1905.993
8.0,44.0,2000.0,1993.1489
8.0,45.0,2089.0,2082.126
8.0,46.0,2180.0,2172.8389
8.0,47.0,2273.0,2265.1907
8.0,48.0,2368.0,2359.0696
8.0,49.0,2465.0,2454.3513
9.0,0.0,81.0,75.24638
9.0,1.0,82.0,77.36617
9.0,2.0,85.0,81.06473
9.0,3.0,90.0,86.43025
9.0,4.0,97.0,93.54349
9.0,5.0,106.0,102.47063
9.0,6.0,117.0,113.270996
9.0,7.0,130.0,125.99242
9.0,8.0,145.0,140.67433
9.0,9.0,162.0,157.34549
9.0,10.0,181.0,176.03044
9.0,11.0,202.0,196.74387
9.0,12.0,225.0,219.49454
9.0,13.0,250.0,244.28636
9.0,14.0,277.0,271.12015
9.0,15.0,306.0,299.98975
9.0,16.0,337.0,330.8913
9.0,17.0,370.0,363.8141
9.0,18.0,405.0,398.75143
9.0,19.0,442.0,435.69073
9.0,20.0,481.0,474.62515
9.0,21.0,522.0,515.54517
9.0,22.0,565.0,558.444
9.0,23.0,610.0,603.317
9.0,24.0,657.0,650.15894
9.0,25.0,706.0,698.9719
9.0,26.0,757.0,749.7551
9.0,27.0,810.0,802.5143
9.0,28.0,865.0,857.25525
9.0,29.0,922.0,913.9866
9.0,30.0,981.0,972.7195
9.0,31.0,1042.0,1033.4661
9.0,32.0,1105.0,1096.2388
9.0,33.0,1170.0,1161.0516
9.0,34.0,1237.0,1227.9163
9.0,35.0,1306.0,1296.8441
9.0,36.0,1377.0,1367.8434
9.0,37.0,1450.0,1440.9186
9.0,38.0,1525.0,1516.0695
9.0,39.0,1602.0,1593.2898
9.0,40.0,1681.0,1672.564
9.0,41.0,1762.0,1753.8698
9.0,42.0,1845.0,1837.1743
9.0,43.0,1930.0,1922.4336
9.0,44.0,2017.0,2009.5907
9.0,45.0,2106.0,2098.5781
9.0,46.0,2197.0,2189.3123
9.0,47.0,2290.0,2281.6973
9.0,48.0,2385.0,2375.6218
9.0,49.0,2482.0,2470.9626
10.0,0.0,100.0,93.70468
10.0,1.0,101.0,95.836655
10.0,2.0,104.0,99.54233
10.0,3.0,109.0,104.912346
10.0,4.0,116.0,112.02597
10.0,5.0,125.0,120.95206
10.0,6.0,136.0,131.74962
10.0,7.0,149.0,144.46822
10.0,8.0,164.0,159.14731
10.0,9.0,181.0,175.8182
10.0,10.0,200.0,194.5036
10.0,11.0,221.0,215.21867
10.0,12.0,244.0,237.974
10.0,13.0,269.0,262.77225
10.0,14.0,296.0,289.6153
10.0,15.0,325.0,318.4972
10.0,16.0,356.0,349.41226
10.0,17.0,389.0,382.3505
10.0,18.0,424.0,417.30444
10.0,19.0,461.0,454.2633
10.0,20.0,500.0,493.21658
10.0,21.0,541.0,534.1558
10.0,22.0,584.0,577.07336
10.0,23.0,629.0,621.9635
10.0,24.0,676.0,668.82263
10.0,25.0,725.0,717.6489
10.0,26.0,776.0,768.444
10.0,27.0,829.0,821.21045
10.0,28.0,884.0,875.9563
10.0,29.0,941.0,932.6897
10.0,30.0,1000.0,991.41956
10.0,31.0,1061.0,1052.1588
10.0,32.0,1124.0,1114.9214
10.0,33.0,1189.0,1179.7189
10.0,34.0,1256.0,1246.5653
10.0,35.0,1325.0,1315.4731
10.0,36.0,1396.0,1386.449
10.0,37.0,1469.0,1459.5001
10.0,38.0,1544.0,1534.6263
10.0,39.0,1621.0,1611.8224
10.0,40.0,1700.0,1691.0753
10.0,41.0,1781.0,1772.3634
10.0,42.0,1864.0,1855.6553
10.0,43.0,1949.0,1940.9075
10.0,44.0,2036.0,2028.0659
10.0,45.0,2125.0,2117.0623
10.0,46.0,2216.0,2207.816
10.0,47.0,2309.0,2300.231
10.0,48.0,2404.0,2394.197
10.0,49.0,2501.0,2489.59
11.0,0.0,121.0,114.176926
11.0,1.0,122.0,116.32482
11.0,2.0,125.0,120.04171
11.0,3.0,130.0,125.41878
11.0,4.0,137.0,132.53523
11.0,5.0,146.0,141.4623
11.0,6.0,157.0,152.2597
11.0,7.0,170.0,164.97775
11.0,8.0,185.0,179.6563
11.0,9.0,202.0,196.32668
11.0,10.0,221.0,215.01334
11.0,11.0,242.0,235.73157
11.0,12.0,265.0,258.492
11.0,13.0,290.0,283.29816
11.0,14.0,317.0,310.14984
11.0,15.0,346.0,339.04367
11.0,16.0,377.0,369.97235
11.0,17.0,410.0,402.92706
11.0,18.0,445.0,437.89844
11.0,19.0,482.0,474.8751
11.0,20.0,521.0,513.84814
11.0,21.0,562.0,554.8066
11.0,22.0,605.0,597.7426
11.0,23.0,650.0,642.65155
11.0,24.0,697.0,689.527
11.0,25.0,746.0,738.3677
11.0,26.0,797.0,789.17456
11.0,27.0,850.0,841.95074
11.0,28.0,905.0,896.7031
11.0,29.0,962.0,953.43744
11.0,30.0,1021.0,1012.16626
11.0,31.0,1082.0,1072.9003
11.0,32.0,1145.0,1135.653
11.0,33.0,1210.0,1200.4384
11.0,34.0,1277.0,1267.2698
11.0,35.0,1346.0,1336.1572
11.0,36.0,1417.0,1407.1139
11.0,37.0,1490.0,1480.143
11.0,38.0,1565.0,1555.247
11.0,39.0,1642.0,1632.4209
11.0,40.0,1721.0,1711.6544
11.0,41.0,1802.0,1792.9264
11.0,42.0,1885.0,1876.2057
11.0,43.0,1970.0,1961.4508
11.0,44.0,2057.0,2048.6099
11.0,45.0,2146.0,2137.615
11.0,46.0,2237.0,2228.3855
11.0,47.0,2330.0,2320.8276
11.0,48.0,2425.0,2414.8306
11.0,49.0,2522.0,2510.272
12.0,0.0,144.0,136.70319
12.0,1.0,145.0,138.87115
12.0,2.0,148.0,142.6021
12.0,3.0,153.0,147.98785
12.0,4.0,160.0,155.11089
12.0,5.0,169.0,164.0409
12.0,6.0,180.0,174.83984
12.0,7.0,193.0,187.55827
12.0,8.0,208.0,202.23688
12.0,9.0,225.0,218.90851
12.0,10.0,244.0,237.59665
12.0,11.0,265.0,258.318
12.0,12.0,288.0,281.08386
12.0,13.0,313.0,305.89764
12.0,14.0,340.0,332.759
12.0,15.0,369.0,361.66364
12.0,16.0,400.0,392.60565
12.0,17.0,433.0,425.57693
12.0,18.0,468.0,460.56476
12.0,19.0,505.0,497.55957
12.0,20.0,544.0,536.551
12.0,21.0,585.0,577.52875
12.0,22.0,628.0,620.4834
12.0,23.0,673.0,665.41
12.0,24.0,720.0,712.3021
12.0,25.0,769.0,761.1578
12.0,26.0,820.0,811.97687
12.0,27.0,873.0,864.76294
12.0,28.0,928.0,919.52094
12.0,29.0,985.0,976.25903
12.0,30.0,1044.0,1034.987
12.0,31.0,1105.0,1095.7173
12.0,32.0,1168.0,1158.4624
12.0,33.0,1233.0,1223.2365
12.0,34.0,1300.0,1290.0532
12.0,35.0,1369.0,1358.925
12.0,36.0,1440.0,1429.8628
12.0,37.0,1513.0,1502.8721
12.0,38.0,1588.0,1577.9558
12.0,39.0,1665.0,1655.1105
12.0,40.0,1744.0,1734.3263
12.0,41.0,1825.0,1815.5825
12.0,42.0,1908.0,1898.8501
12.0,43.0,1993.0,1984.0897
12.0,44.0,2080.0,2071.2483
12.0,45.0,2169.0,2160.26
12.0,46.0,2260.0,2251.0452
12.0,47.0,2353.0,2343.5107
12.0,48.0,2448.0,2437.547
12.0,49.0,2545.0,2533.031
13.0,0.0,169.0,161.31303
13.0,1.0,170.0,163.50368
13.0,2.0,173.0,167.25183
13.0,3.0,178.0,172.64915
13.0,4.0,185.0,179.77971
13.0,5.0,194.0,188.7144
13.0,6.0,205.0,199.51608
13.0,7.0,218.0,212.23473
13.0,8.0,233.0,226.91489
13.0,9.0,250.0,243.58766
13.0,10.0,269.0,262.27814
13.0,11.0,290.0,283.00333
13.0,12.0,313.0,305.7736
13.0,13.0,338.0,330.59372
13.0,14.0,365.0,357.46448
13.0,15.0,394.0,386.3813
13.0,16.0,425.0,417.33606
13.0,17.0,458.0,450.32114
13.0,18.0,493.0,485.32562
13.0,19.0,530.0,522.3375
13.0,20.0,569.0,561.3465
13.0,21.0,610.0,602.34235
13.0,22.0,653.0,645.31573
13.0,23.0,698.0,690.2589
13.0,24.0,745.0,737.16675
13.0,25.0,794.0,786.03723
13.0,26.0,845.0,836.86865
13.0,27.0,898.0,889.66406
13.0,28.0,953.0,944.42914
13.0,29.0,1010.0,1001.1708
13.0,30.0,1069.0,1059.8984
13.0,31.0,1130.0,1120.6259
13.0,32.0,1193.0,1183.3647
13.0,33.0,1258.0,1248.1293
13.0,34.0,1325.0,1314.9338
13.0,35.0,1394.0,1383.7903
13.0,36.0,1465.0,1454.711
13.0,37.0,1538.0,1527.7021
13.0,38.0,1613.0,1602.7677
13.0,39.0,1690.0,1679.905
13.0,40.0,1769.0,1759.1036
13.0,41.0,1850.0,1840.3456
13.0,42.0,1933.0,1923.6029
13.0,43.0,2018.0,2008.8359
13.0,44.0,2105.0,2095.9934
13.0,45.0,2194.0,2185.0107
13.0,46.0,2285.0,2275.8096
13.0,47.0,2378.0,2368.2952
13.0,48.0,2473.0,2462.3596
13.0,49.0,2570.0,2557.8806
14.0,0.0,196.0,188.02403
14.0,1.0,197.0,190.24046
14.0,2.0,200.0,194.00732
14.0,3.0,205.0,199.41835
14.0,4.0,212.0,206.55801
14.0,5.0,221.0,215.49841
14.0,6.0,232.0,226.30338
14.0,7.0,245.0,239.02455
14.0,8.0,260.0,253.7052
14.0,9.0,277.0,270.37955
14.0,10.0,296.0,289.07166
14.0,11.0,317.0,309.79993
14.0,12.0,340.0,332.5748
14.0,13.0,365.0,357.40158
14.0,14.0,392.0,384.2802
14.0,15.0,421.0,413.2064
14.0,16.0,452.0,444.17313
14.0,17.0,485.0,477.17282
14.0,18.0,520.0,512.1914
14.0,19.0,557.0,549.2201
14.0,20.0,596.0,588.24506
14.0,21.0,637.0,629.2584
14.0,22.0,680.0,672.2486
14.0,23.0,725.0,717.20844
14.0,24.0,772.0,764.131
14.0,25.0,821.0,813.0143
14.0,26.0,872.0,863.8582
14.0,27.0,925.0,916.66315
14.0,28.0,980.0,971.43506
14.0,29.0,1037.0,1028.1799
14.0,30.0,1096.0,1086.9087
14.0,31.0,1157.0,1147.6335
14.0,32.0,1220.0,1210.3666
14.0,33.0,1285.0,1275.1226
14.0,34.0,1352.0,1341.9158
14.0,35.0,1421.0,1410.7592
14.0,36.0,1492.0,1481.6648
14.0,37.0,1565.0,1554.6393
14.0,38.0,1640.0,1629.688
14.0,39.0,1717.0,1706.8083
14.0,40.0,1796.0,1785.9922
14.0,41.0,1877.0,1867.2203
14.0,42.0,1960.0,1950.4677
14.0,43.0,2045.0,2035.6952
14.0,44.0,2132.0,2122.8508
14.0,45.0,2221.0,2211.8728
14.0,46.0,2312.0,2302.6821
14.0,47.0,2405.0,2395.1843
14.0,48.0,2500.0,2489.2727
14.0,49.0,2597.0,2584.825
15.0,0.0,225.0,216.84453
15.0,1.0,226.0,219.08789
15.0,2.0,229.0,222.87558
15.0,3.0,234.0,228.30214
15.0,4.0,241.0,235.45222
15.0,5.0,250.0,244.39972
15.0,6.0,261.0,255.2083
15.0,7.0,274.0,267.93225
15.0,8.0,289.0,282.61423
15.0,9.0,306.0,299.28885
15.0,10.0,325.0,317.98236
15.0,11.0,346.0,338.71317
15.0,12.0,369.0,361.49155
15.0,13.0,394.0,386.32346
15.0,14.0,421.0,413.2091
15.0,15.0,450.0,442.14392
15.0,16.0,481.0,473.1225
15.0,17.0,514.0,506.13275
15.0,18.0,549.0,541.1656
15.0,19.0,586.0,578.2081
15.0,20.0,625.0,617.2496
15.0,21.0,666.0,658.27795
15.0,22.0,709.0,701.2837
15.0,23.0,754.0,746.2587
15.0,24.0,801.0,793.1957
15.0,25.0,850.0,842.0915
15.0,26.0,901.0,892.94617
15.0,27.0,954.0,945.7589
15.0,28.0,1009.0,1000.5368
15.0,29.0,1066.0,1057.2863
15.0,30.0,1125.0,1116.0159
15.0,31.0,1186.0,1176.738
15.0,32.0,1249.0,1239.4662
15.0,33.0,1314.0,1304.2142
15.0,34.0,1381.0,1370.9973
15.0,35.0,1450.0,1439.829
15.0,36.0,1521.0,1510.7201
15.0,37.0,1594.0,1583.6799
15.0,38.0,1669.0,1658.7129
15.0,39.0,1746.0,1735.8177
